Date,Total number of confirmed cases
01/20/20,282
01/21/20,314
01/23/20,581
01/24/20,846
01/25/20,1320
01/26/20,2014
01/27/20,2798
01/28/20,4593
01/29/20,6065
01/30/20,7818
01/31/20,9826
02/01/20,11953
02/02/20,14557
02/03/20,17391
02/04/20,20630
02/05/20,24554
02/06/20,28276
02/07/20,31481
02/08/20,34886
02/09/20,37558
02/10/20,40554
02/11/20,43103
02/12/20,45171
02/13/20,46997
02/14/20,49053
02/15/20,50580
02/16/20,51851
02/17/20,71429
02/18/20,73332
02/19/20,75204
02/20/20,75748
02/21/20,76769
02/22/20,77794
02/23/20,78811
02/24/20,79331
02/25/20,80239
02/26/20,81109
02/27/20,82294
02/28/20,83652
02/29/20,85403
03/01/20,87137
03/02/20,88948
03/03/20,90869
03/04/20,93091
03/05/20,95324
03/06/20,98192
03/07/20,101927
03/08/20,105586
03/09/20,109577
03/10/20,113702
03/11/20,118319
03/12/20,125260
03/13/20,132758
03/14/20,142534
03/15/20,153517
03/16/20,167515
03/17/20,179111
03/18/20,191127
03/19/20,209839
03/20/20,234073
,
