Date,Total number of confirmed cases
1/20/2020,282
1/21/2020,314
1/23/2020,581
1/24/2020,846
1/25/2020,1320
1/26/2020,2014
1/27/2020,2798
1/28/2020,4593
1/29/2020,6065
1/30/2020,7818
1/31/2020,9826
2/1/2020,11953
2/2/2020,14557
2/3/2020,17391
2/4/2020,20630
2/5/2020,24554
2/6/2020,28276
2/7/2020,31481
2/8/2020,34886
2/9/2020,37558
2/10/2020,40554
2/11/2020,43103
2/12/2020,45171
2/13/2020,46997
2/14/2020,49053
2/15/2020,50580
2/16/2020,51851
2/17/2020,71429
2/18/2020,73332
2/19/2020,75204
2/20/2020,75748
2/21/2020,76769
2/22/2020,77794
2/23/2020,78811
2/24/2020,79331
2/25/2020,80239
2/26/2020,81109
2/27/2020,82294
